Label (Grouping),NAME,Total:,    Population of one race:,        White alone,        Black or African American alone,        American Indian and Alaska Native alone,        Asian alone,        Native Hawaiian and Other Pacific Islander alone,        Some Other Race alone,    Population of two or more races:,        Population of two races:,            White; Black or African American,            White; American Indian and Alaska Native,            White; Asian,            White; Native Hawaiian and Other Pacific Islander,            White; Some Other Race,            Black or African American; American Indian and Alaska Native,            Black or African American; Asian,            Black or African American; Native Hawaiian and Other Pacific Islander,            Black or African American; Some Other Race,            American Indian and Alaska Native; Asian,            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            American Indian and Alaska Native; Some Other Race,            Asian; Native Hawaiian and Other Pacific Islander,            Asian; Some Other Race,            Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of three races:,            White; Black or African American; American Indian and Alaska Native,            White; Black or African American; Asian,            White; Black or African American; Native Hawaiian and Other Pacific Islander,            White; Black or African American; Some Other Race,            White; American Indian and Alaska Native; Asian,            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            White; American Indian and Alaska Native; Some Other Race,            White; Asian; Native Hawaiian and Other Pacific Islander,            White; Asian; Some Other Race,            White; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; American Indian and Alaska Native; Asian,            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            Black or African American; American Indian and Alaska Native; Some Other Race,            Black or African American; Asian; Native Hawaiian and Other Pacific Islander,            Black or African American; Asian; Some Other Race,            Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            American Indian and Alaska Native; Asian; Some Other Race,            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of four races:,            White; Black or African American; American Indian and Alaska Native; Asian,            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            White; Black or African American; American Indian and Alaska Native; Some Other Race,            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,            White; Black or African American; Asian; Some Other Race,            White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            White; American Indian and Alaska Native; Asian; Some Other Race,            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            Black or African American; American Indian and Alaska Native; Asian; Some Other Race,            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of five races:,            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of six races:,            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
"Census Tract 4066.01, Alameda County, California",4066.01,"4,834","4,247",900,"1,110",92,"1,307",21,817,587,522,73,37,94,10,213,24,26,3,19,2,0,12,6,3,0,55,14,6,0,7,0,0,16,3,7,0,1,0,1,0,0,0,0,0,0,0,9,2,0,5,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Census Tract 4066.02, Alameda County, California",4066.02,"2,554","2,253",482,590,57,597,34,493,301,249,44,22,36,3,117,1,9,0,2,2,0,8,1,3,1,43,16,4,0,1,3,1,5,4,3,0,0,0,0,1,2,0,1,1,0,1,8,1,0,4,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Census Tract 4067, Alameda County, California",4067,"5,567","4,817","2,770",751,34,961,30,271,750,662,99,51,176,10,254,15,24,4,15,3,0,2,1,6,2,71,7,10,1,5,1,0,24,12,10,0,0,0,0,0,1,0,0,0,0,0,16,4,0,10,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Census Tract 4068, Alameda County, California",4068,"3,569","3,088","1,485",492,43,848,19,201,481,412,44,7,120,0,175,10,23,3,13,3,0,3,3,7,1,55,7,16,0,2,1,0,14,2,9,4,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0
"Census Tract 4069, Alameda County, California",4069,"3,839","3,303","1,471",749,58,719,21,285,536,451,82,31,100,7,164,16,14,0,12,4,3,1,9,7,1,85,30,9,0,7,4,2,20,4,6,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4070, Alameda County, California",4070,"6,079","5,449","1,051","1,212",194,"1,626",35,"1,331",630,545,63,31,78,0,219,8,18,1,36,0,0,63,15,13,0,74,14,4,0,6,4,0,31,0,7,0,1,0,3,0,2,0,0,0,2,0,9,2,0,0,2,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
"Census Tract 4071.01, Alameda County, California",4071.01,"3,558","3,143",399,497,141,680,11,"1,415",415,382,16,15,34,1,246,0,15,1,13,1,0,27,9,4,0,31,1,4,0,0,2,0,12,6,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4071.02, Alameda County, California",4071.02,"4,382","3,836",725,665,153,911,20,"1,362",546,477,54,24,48,3,267,4,13,1,18,6,0,24,4,10,1,50,14,2,1,8,0,2,20,2,1,0,0,0,0,0,0,0,0,0,0,0,16,4,0,11,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1
"Census Tract 4072, Alameda County, California",4072,"6,823","5,983",871,454,572,749,5,"3,332",840,792,39,30,32,0,515,9,3,4,10,7,0,132,7,4,0,36,4,6,0,12,1,0,8,0,4,0,0,0,0,0,0,0,0,1,0,0,12,1,0,4,0,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4073, Alameda County, California",4073,"3,943","3,488",851,590,165,273,66,"1,543",455,421,62,20,24,7,234,0,15,0,0,3,0,34,7,13,2,32,3,0,3,0,9,0,5,0,9,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Census Tract 4074, Alameda County, California",4074,"4,412","3,893",327,773,321,401,19,"2,052",519,457,18,20,35,1,268,14,15,0,13,1,1,46,2,20,3,50,4,1,1,8,1,0,21,0,4,0,5,0,2,2,1,0,0,0,0,0,7,0,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
"Census Tract 4075, Alameda County, California",4075,"4,383","3,910",380,"1,119",266,279,74,"1,792",473,415,47,25,21,4,198,23,12,2,37,0,0,36,3,7,0,42,5,2,0,6,0,0,24,0,2,0,0,0,0,0,1,0,0,2,0,0,15,2,0,10,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0
"Census Tract 4076, Alameda County, California",4076,"6,390","5,589","1,183","1,839",236,677,74,"1,580",801,683,91,33,84,3,300,26,35,7,29,0,4,58,0,13,0,89,18,3,0,13,9,3,21,7,5,0,0,1,4,4,0,1,0,0,0,0,26,4,0,15,0,1,0,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0
"Census Tract 4077, Alameda County, California",4077,"4,465","3,888","1,369","1,669",49,377,12,412,577,470,69,28,87,4,174,29,27,2,29,0,0,10,3,8,0,93,15,11,0,21,4,1,34,0,3,0,0,0,2,1,1,0,0,0,0,0,13,3,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"Census Tract 4078, Alameda County, California",4078,"2,373","2,018",830,660,35,228,10,255,355,298,50,16,57,5,105,11,17,1,6,4,0,16,3,7,0,47,16,9,0,6,1,0,7,3,1,1,0,0,0,0,3,0,0,0,0,0,10,1,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4079, Alameda County, California",4079,"3,081","2,581","1,209",576,27,489,19,261,500,432,76,28,114,6,155,15,14,0,17,3,0,0,0,4,0,61,14,8,4,5,0,0,7,3,11,2,0,0,6,0,0,1,0,0,0,0,6,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Census Tract 4080, Alameda County, California",4080,"2,630","2,316","1,424",301,6,509,5,71,314,287,49,17,90,2,99,6,6,0,7,0,2,4,0,5,0,25,5,0,0,4,2,2,2,1,5,3,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4081, Alameda County, California",4081,"6,712","5,853","2,376","1,649",13,"1,512",27,276,859,760,131,32,207,7,225,24,48,4,38,5,1,12,3,22,1,97,27,12,1,11,0,3,24,12,6,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4082, Alameda County, California",4082,"4,471","3,851",959,"1,802",89,283,11,707,620,532,85,31,45,7,216,38,28,12,47,2,0,6,7,4,4,75,29,5,2,8,3,1,18,2,5,0,0,0,0,0,1,0,1,0,0,0,12,2,0,8,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Census Tract 4083, Alameda County, California",4083,"4,791","4,117","1,276","1,639",64,385,36,717,674,572,101,53,79,8,210,16,43,6,31,2,1,14,5,3,0,89,23,8,3,11,1,1,25,2,6,0,2,0,2,0,5,0,0,0,0,0,12,2,1,7,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Census Tract 4084, Alameda County, California",4084,"3,927","3,418",283,"1,471",161,120,46,"1,337",509,479,48,10,2,9,283,22,15,4,29,0,0,38,7,12,0,25,2,5,0,1,0,0,10,1,5,0,0,0,0,1,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4085, Alameda County, California",4085,"5,752","5,119",430,"2,032",274,191,78,"2,114",633,556,61,15,25,4,296,24,16,2,37,2,0,58,6,10,0,63,10,5,0,8,1,0,28,2,7,0,0,0,1,1,0,0,0,0,0,0,8,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,6,0,6,0,0,0,0,0,0
"Census Tract 4086, Alameda County, California",4086,"6,167","5,421",484,"2,063",238,266,60,"2,310",746,671,90,27,35,0,341,29,19,0,45,0,0,67,11,6,1,70,18,4,0,12,1,0,24,5,2,0,0,1,0,0,0,0,0,0,0,3,5,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4087, Alameda County, California",4087,"7,774","6,894",756,"2,786",179,376,53,"2,744",880,765,70,25,50,4,398,48,18,21,48,0,1,63,1,17,1,109,32,3,0,6,6,1,44,4,1,2,5,0,4,0,1,0,0,0,0,0,6,0,1,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4088, Alameda County, California",4088,"7,257","6,588",724,"2,373",206,601,86,"2,598",669,625,80,18,55,6,272,45,20,0,56,4,0,48,9,8,4,40,6,4,0,5,0,0,11,2,3,0,0,0,5,1,0,0,0,3,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4089, Alameda County, California",4089,"3,857","3,500",291,959,118,156,19,"1,957",357,322,34,7,5,0,219,11,3,1,12,0,0,15,0,11,4,32,12,0,1,6,3,0,0,2,4,0,0,0,1,1,2,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Census Tract 4090, Alameda County, California",4090,"4,879","4,414",581,"1,461",135,305,80,"1,852",465,409,41,5,22,0,285,0,6,2,32,0,0,12,1,3,0,52,8,3,0,2,1,0,33,2,0,0,0,0,3,0,0,0,0,0,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4091, Alameda County, California",4091,"2,472","2,196",195,641,86,122,60,"1,092",276,257,18,8,21,4,184,12,3,0,0,1,0,4,0,1,1,18,1,7,0,0,1,0,2,0,5,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4092, Alameda County, California",4092,"3,755","3,365",270,952,111,220,63,"1,749",390,346,28,8,32,4,202,13,1,1,28,0,0,21,2,6,0,35,13,0,0,0,0,2,6,9,0,1,0,2,0,0,0,1,0,0,0,1,9,2,0,0,0,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4093, Alameda County, California",4093,"5,701","4,999",489,"1,328",189,200,30,"2,763",702,646,33,20,12,0,457,21,17,0,22,0,0,34,4,26,0,54,7,6,1,2,4,1,26,1,3,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4094, Alameda County, California",4094,"5,379","4,767",397,882,185,388,54,"2,861",612,575,23,3,10,6,445,3,7,2,34,5,0,26,2,7,2,35,7,1,2,3,1,0,9,2,0,2,4,1,0,0,3,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4095, Alameda County, California",4095,"4,390","4,000",386,"1,016",159,182,42,"2,215",390,350,21,10,24,0,254,6,7,0,15,3,0,1,2,6,1,39,8,0,1,2,1,0,16,0,0,1,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Census Tract 4096, Alameda County, California",4096,"5,777","5,052",375,"1,341",178,173,59,"2,926",725,641,44,9,7,0,437,18,15,3,38,1,2,35,10,18,4,72,13,3,3,5,3,0,35,2,5,0,1,0,1,1,0,0,0,0,0,0,12,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4097, Alameda County, California",4097,"5,523","4,827",349,"2,012",180,234,139,"1,913",696,612,58,25,31,6,342,29,20,11,46,0,0,29,4,8,3,79,29,2,2,3,2,0,32,1,0,0,0,0,3,4,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2
"Census Tract 4098, Alameda County, California",4098,"3,220","2,815",542,"1,678",52,234,22,287,405,354,58,14,40,0,129,22,28,8,41,0,0,5,4,4,1,38,10,15,0,2,0,1,5,2,3,0,0,0,0,0,0,0,0,0,0,0,9,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0
"Census Tract 4099, Alameda County, California",4099,"3,546","3,130","1,037","1,538",30,373,11,141,416,358,79,26,66,3,120,12,14,4,22,2,2,2,4,2,0,52,17,3,0,10,4,0,7,3,5,0,1,0,0,0,0,0,0,2,0,0,6,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4100, Alameda County, California",4100,"3,031","2,682","1,027","1,198",7,270,4,176,349,298,51,22,52,4,105,7,25,0,17,1,1,6,4,1,2,42,6,2,0,8,6,0,3,10,3,1,0,0,1,0,0,0,0,0,2,0,8,3,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"Census Tract 4101, Alameda County, California",4101,"2,925","2,575",351,"1,400",63,207,49,505,350,277,55,10,31,1,107,20,23,0,14,2,0,4,1,4,5,58,18,13,1,5,0,0,12,0,6,1,0,0,2,0,0,0,0,0,0,0,13,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"Census Tract 4102, Alameda County, California",4102,"3,679","3,257",293,"1,449",87,239,65,"1,124",422,392,33,19,15,1,213,16,16,7,38,2,0,25,2,5,0,28,6,3,1,4,6,0,4,0,0,0,0,0,0,1,2,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4103, Alameda County, California",4103,"4,036","3,454",251,846,117,131,90,"2,019",582,542,33,9,5,0,406,18,11,3,27,2,1,16,5,1,5,33,7,3,0,0,0,0,11,2,5,0,2,0,0,2,0,0,0,0,0,1,7,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4104, Alameda County, California",4104,"4,142","3,542",414,"1,329",95,457,31,"1,216",600,541,41,16,15,0,374,16,15,0,21,7,0,17,15,4,0,59,12,8,0,5,2,0,22,3,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4105, Alameda County, California",4105,"2,553","2,310",480,"1,335",18,268,25,184,243,216,34,2,61,10,41,22,19,5,15,0,0,0,1,6,0,21,8,2,0,2,2,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,5,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Census Tract 4201, Alameda County, California",4201,"2,436","2,097","1,380",44,1,594,2,76,339,291,15,15,120,2,125,0,0,0,3,2,0,3,3,3,0,41,3,5,0,4,4,0,12,3,7,0,0,0,3,0,0,0,0,0,0,0,5,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
"Census Tract 4202, Alameda County, California",4202,"3,234","2,775","1,238",96,10,"1,280",3,148,459,416,33,9,180,0,149,0,6,3,4,8,0,6,0,18,0,42,7,3,1,4,0,0,8,2,12,1,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4203.01, Alameda County, California",4203.01,"2,593","2,342",857,114,3,"1,299",0,69,251,224,29,9,101,1,61,2,1,2,4,1,0,0,5,8,0,27,5,5,0,3,2,0,5,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4203.02, Alameda County, California",4203.02,"2,426","2,086","1,109",77,10,758,4,128,340,302,19,17,107,1,131,1,10,1,4,0,0,0,2,6,3,32,1,3,0,2,4,0,14,1,7,0,0,0,0,0,0,0,0,0,0,0,6,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4204.01, Alameda County, California",4204.01,"1,597","1,394",716,89,18,351,1,219,203,186,18,5,43,4,95,0,1,11,0,0,0,2,6,1,0,12,1,1,0,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4204.02, Alameda County, California",4204.02,"2,155","1,862",803,172,28,550,1,308,293,264,27,17,64,4,114,2,5,12,6,0,0,2,6,1,4,27,3,2,0,5,1,1,6,7,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Census Tract 4205, Alameda County, California",4205,"2,431","2,052","1,151",73,8,723,2,95,379,331,19,38,138,1,99,5,7,5,4,0,0,0,6,8,1,43,6,2,0,2,1,0,16,7,7,0,1,0,0,0,1,0,0,0,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Census Tract 4206, Alameda County, California",4206,"3,399","2,976","2,192",51,12,629,4,88,423,384,36,13,187,1,132,0,3,0,3,1,0,2,2,4,0,34,3,2,0,7,1,0,6,2,9,2,1,0,0,0,0,0,0,1,0,0,4,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Census Tract 4211, Alameda County, California",4211,"2,031","1,798","1,429",45,0,279,3,42,233,212,20,12,79,3,91,0,0,0,0,0,0,0,6,1,0,19,3,7,0,0,1,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4212, Alameda County, California",4212,"3,657","3,224","2,700",58,15,378,5,68,433,379,41,17,174,0,141,0,0,0,0,2,1,1,2,0,0,42,5,6,0,9,7,0,4,3,4,2,0,0,1,1,0,0,0,0,0,0,12,4,0,0,1,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4213, Alameda County, California",4213,"3,945","3,461","2,830",71,10,472,0,78,484,435,30,24,188,1,169,2,3,0,8,0,0,4,3,3,0,43,2,6,0,4,6,0,11,5,8,0,0,0,0,0,0,0,0,1,0,0,5,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Census Tract 4214, Alameda County, California",4214,"1,679","1,499","1,283",19,0,169,1,27,180,158,6,12,59,0,71,0,2,1,1,0,0,4,2,0,0,21,0,2,3,6,0,0,7,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4215, Alameda County, California",4215,"3,745","3,288","2,768",46,5,409,5,55,457,415,29,21,181,0,167,3,2,0,4,3,0,4,0,1,0,39,12,4,0,4,0,0,4,6,9,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4216, Alameda County, California",4216,"3,836","3,420","2,777",105,6,437,4,91,416,387,26,15,148,7,169,0,1,4,2,0,0,0,2,9,4,26,3,3,0,0,1,0,11,1,7,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4217, Alameda County, California",4217,"3,386","2,960","2,105",95,15,661,5,79,426,389,43,22,150,9,147,2,0,0,6,2,0,0,4,1,3,24,2,4,1,6,3,0,5,0,1,0,0,0,0,2,0,0,0,0,0,0,13,1,1,4,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4218, Alameda County, California",4218,"2,110","1,829","1,478",58,4,252,3,34,281,252,11,15,113,0,96,4,7,1,1,0,0,0,1,0,3,17,6,0,0,0,0,1,3,3,4,0,0,0,0,0,0,0,0,0,0,0,12,1,0,6,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4219, Alameda County, California",4219,"3,901","3,375","2,358",260,6,603,6,142,526,489,41,32,178,12,180,5,7,0,9,6,0,5,3,11,0,30,6,1,0,7,0,3,5,1,3,2,0,0,0,1,0,0,0,0,0,1,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Census Tract 4220, Alameda County, California",4220,"4,160","3,715","1,940",796,44,532,66,337,445,373,92,24,84,2,103,8,29,1,5,3,2,2,15,1,2,63,13,1,0,6,5,1,21,3,8,0,0,0,3,0,0,0,0,0,0,2,9,1,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4221, Alameda County, California",4221,"2,843","2,443","1,255",324,64,349,9,442,400,356,28,29,100,8,149,17,5,3,2,0,1,7,0,3,4,42,9,6,0,3,4,0,14,0,5,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4222, Alameda County, California",4222,"3,322","2,835","1,819",270,18,566,7,155,487,430,51,32,141,4,149,17,13,0,12,1,0,7,2,1,0,47,12,4,0,13,0,0,12,2,0,0,1,0,1,2,0,0,0,0,0,0,8,2,1,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
"Census Tract 4223, Alameda County, California",4223,"3,811","3,378","2,194",217,7,802,3,155,433,385,36,13,135,0,160,2,8,0,7,0,0,8,10,6,0,38,11,11,0,4,0,0,6,4,0,1,0,0,0,0,1,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4224, Alameda County, California",4224,"4,134","3,719","1,772",222,16,"1,534",7,168,415,385,39,22,147,0,158,2,9,0,2,1,0,0,3,2,0,18,1,5,0,2,1,0,6,0,2,0,0,0,0,0,1,0,0,0,0,0,11,3,0,6,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Census Tract 4225, Alameda County, California",4225,"5,065","4,632","2,595",217,10,"1,401",23,386,433,410,22,9,162,1,164,1,8,16,4,2,0,4,6,11,0,21,7,1,0,2,0,0,5,1,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4227, Alameda County, California",4227,"4,868","4,277","2,591",118,4,"1,304",5,255,591,547,46,17,302,0,167,1,5,0,3,0,0,2,2,1,1,42,5,0,2,5,0,0,14,9,5,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4228, Alameda County, California",4228,"11,245","10,251","4,123",351,24,"4,188",1,"1,564",994,959,21,21,412,0,390,0,27,0,67,0,0,8,4,9,0,27,0,3,0,0,0,0,13,5,5,0,0,0,0,0,0,0,0,0,0,1,4,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0
"Census Tract 4229.01, Alameda County, California",4229.01,"2,322","2,108",776,136,12,"1,067",3,114,214,203,20,14,62,1,75,2,11,3,3,0,0,1,5,6,0,10,0,3,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Census Tract 4229.02, Alameda County, California",4229.02,"3,033","2,748",985,424,41,"1,083",15,200,285,239,38,11,59,3,89,5,8,0,10,7,0,3,1,5,0,38,11,2,3,1,2,2,14,3,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Census Tract 4230, Alameda County, California",4230,"4,676","4,085","2,751",297,28,807,8,194,591,527,45,40,182,0,219,8,9,0,13,1,0,4,2,4,0,61,11,9,3,5,5,0,13,4,5,0,2,0,0,3,1,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4231, Alameda County, California",4231,"4,335","3,789","2,181",577,33,665,12,321,546,464,60,32,146,1,153,16,16,0,17,0,0,8,6,9,0,71,17,2,0,12,8,0,18,6,7,0,0,0,1,0,0,0,0,0,0,0,8,1,0,5,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0
